nid,gridcell,se
0,1,gridse2
88,2,gridse2
93,2,gridse2
94,2,gridse2
96,2,gridse2
139,2,gridse2
155,1,gridse2
176,2,gridse2
229,1,gridse2
235,1,gridse2
237,1,gridse2
239,1,gridse2
242,1,gridse2
243,1,gridse2
244,2,gridse2
245,2,gridse2
246,2,gridse2
247,2,gridse2
255,2,gridse2
259,2,gridse2
272,2,gridse2
276,2,gridse2
278,2,gridse2
322,2,gridse2
324,2,gridse2
326,2,gridse2
327,1,gridse2
329,2,gridse2
334,1,gridse2
335,2,gridse2
336,2,gridse2
337,1,gridse2
338,2,gridse2
349,2,gridse2
350,2,gridse2
353,2,gridse2
355,1,gridse2
356,2,gridse2
358,1,gridse2
366,2,gridse2
367,2,gridse2
368,2,gridse2
373,1,gridse2
378,1,gridse2
379,2,gridse2
437,1,gridse2
438,1,gridse2
439,2,gridse2
445,1,gridse2
451,1,gridse2
458,1,gridse2
468,2,gridse2
470,2,gridse2
471,2,gridse2
475,2,gridse2
597,1,gridse2
603,2,gridse2
604,2,gridse2
609,2,gridse2
613,2,gridse2
615,2,gridse2
620,2,gridse2
621,1,gridse2
626,1,gridse2
627,2,gridse2
628,2,gridse2
629,2,gridse2
630,1,gridse2
635,2,gridse2
636,2,gridse2
638,2,gridse2
640,2,gridse2
643,2,gridse2
646,2,gridse2
648,2,gridse2
652,2,gridse2
653,2,gridse2
654,2,gridse2
655,2,gridse2
656,2,gridse2
657,2,gridse2
658,2,gridse2
789,2,gridse2
899,1,gridse2
908,2,gridse2
916,1,gridse2
922,2,gridse2
927,2,gridse2
934,2,gridse2
955,1,gridse2
956,1,gridse2
960,1,gridse2
961,1,gridse2
963,2,gridse2
964,2,gridse2
965,2,gridse2
968,2,gridse2
2131,2,gridse2
2143,2,gridse2
2144,1,gridse2
2145,2,gridse2
2147,2,gridse2
2148,1,gridse2
2150,2,gridse2
2151,2,gridse2
2153,2,gridse2
2154,1,gridse2
2155,1,gridse2
2156,2,gridse2
2158,2,gridse2
2159,2,gridse2
2161,2,gridse2
2164,1,gridse2
2165,1,gridse2
2166,2,gridse2
2359,2,gridse2
2360,1,gridse2
2361,2,gridse2
2364,2,gridse2
2370,2,gridse2
2373,2,gridse2
2374,2,gridse2
2378,2,gridse2
2379,2,gridse2
2380,2,gridse2
2383,2,gridse2
2384,2,gridse2
2387,2,gridse2
2388,2,gridse2
2423,1,gridse2
2425,2,gridse2
2426,1,gridse2
2428,1,gridse2
2431,2,gridse2
2433,2,gridse2
2439,1,gridse2
2440,2,gridse2
2441,1,gridse2
2442,2,gridse2
2443,2,gridse2
2541,2,gridse2
2542,2,gridse2
2553,2,gridse2
2566,2,gridse2
2568,2,gridse2
2569,1,gridse2
2570,2,gridse2
2752,2,gridse2
2755,2,gridse2
2757,2,gridse2
2762,1,gridse2
2763,2,gridse2
2764,2,gridse2
2767,1,gridse2
2772,2,gridse2
2773,2,gridse2
2802,2,gridse2
2803,2,gridse2
2810,1,gridse2
2817,1,gridse2
2818,1,gridse2
2842,1,gridse2
2945,2,gridse2
2948,2,gridse2
2954,2,gridse2
3027,1,gridse2
3030,1,gridse2
3322,2,gridse2
3669,2,gridse2
3670,2,gridse2
3719,1,gridse2
3721,2,gridse2
3735,1,gridse2
3737,2,gridse2
3738,2,gridse2
3739,2,gridse2
3753,2,gridse2
3762,2,gridse2
3767,1,gridse2
3769,2,gridse2
3773,1,gridse2
3786,1,gridse2
3797,1,gridse2
3798,1,gridse2
3800,2,gridse2
3801,2,gridse2
3802,2,gridse2
3803,2,gridse2
3804,1,gridse2
3805,2,gridse2
3806,2,gridse2
3808,1,gridse2
3810,2,gridse2
3817,2,gridse2
3818,1,gridse2
3974,1,gridse2
3976,2,gridse2
3977,2,gridse2
3983,1,gridse2
3984,1,gridse2
3985,1,gridse2
3986,1,gridse2
3995,2,gridse2
4117,2,gridse2
4118,1,gridse2
4119,1,gridse2
4121,2,gridse2
4124,2,gridse2
4130,1,gridse2
4134,2,gridse2
4141,2,gridse2
4169,2,gridse2
4183,1,gridse2
4193,2,gridse2
4243,1,gridse2
4247,2,gridse2
4250,1,gridse2
4251,1,gridse2
