nid,noflower,yesflower,tpi_zone,hsev,year,inout,nobs,yof,target,flower_year
229,74,1,2,2,2018,inner,75,2014,229,2018
229,141,1,3,1,2018,inner,142,2014,229,2018
229,1717,15,3,2,2018,inner,1732,2014,229,2018
229,128,4,3,3,2018,inner,132,2014,229,2018
235,83,0,1,1,2018,inner,83,2014,235,2018
235,271,4,1,2,2018,inner,275,2014,235,2018
235,100,2,1,3,2018,inner,102,2014,235,2018
235,99,0,2,1,2018,inner,99,2014,235,2018
235,140,4,2,2,2018,inner,144,2014,235,2018
235,74,1,3,1,2018,inner,75,2014,235,2018
235,84,0,3,2,2018,inner,84,2014,235,2018
235,56,0,3,3,2018,inner,56,2014,235,2018
235,159,0,4,2,2018,inner,159,2014,235,2018
235,183,2,4,3,2018,inner,185,2014,235,2018
237,237,10,2,3,2018,inner,247,2013,237,2018
237,270,6,2,4,2018,inner,276,2013,237,2018
237,263,7,3,2,2018,inner,270,2013,237,2018
237,1621,23,3,3,2018,inner,1644,2013,237,2018
237,2609,29,3,4,2018,inner,2638,2013,237,2018
237,1438,11,3,5,2018,inner,1449,2013,237,2018
237,942,4,4,2,2018,inner,946,2013,237,2018
237,2953,34,4,3,2018,inner,2987,2013,237,2018
237,2904,49,4,4,2018,inner,2953,2013,237,2018
237,149,0,4,5,2018,inner,149,2013,237,2018
242,590,55,1,1,2018,inner,645,2013,242,2018
242,1663,87,1,2,2018,inner,1750,2013,242,2018
242,3019,139,1,3,2018,inner,3158,2013,242,2018
242,885,55,1,4,2018,inner,940,2013,242,2018
242,1058,34,2,1,2018,inner,1092,2013,242,2018
242,3511,62,2,2,2018,inner,3573,2013,242,2018
242,3131,65,2,3,2018,inner,3196,2013,242,2018
242,1103,15,2,4,2018,inner,1118,2013,242,2018
242,1442,7,3,1,2018,inner,1449,2013,242,2018
242,9529,59,3,2,2018,inner,9588,2013,242,2018
242,4931,31,3,3,2018,inner,4962,2013,242,2018
242,2500,4,3,4,2018,inner,2504,2013,242,2018
242,1246,5,4,1,2018,inner,1251,2013,242,2018
242,5527,49,4,2,2018,inner,5576,2013,242,2018
242,3719,23,4,3,2018,inner,3742,2013,242,2018
242,3618,6,4,4,2018,inner,3624,2013,242,2018
245,4236,111,1,1,2018,inner,4347,2013,245,2018
245,4729,80,1,2,2018,inner,4809,2013,245,2018
245,5817,137,1,3,2018,inner,5954,2013,245,2018
245,1173,23,1,4,2018,inner,1196,2013,245,2018
245,97,2,1,5,2018,inner,99,2013,245,2018
245,5361,75,2,1,2018,inner,5436,2013,245,2018
245,23303,308,2,2,2018,inner,23611,2013,245,2018
245,24734,301,2,3,2018,inner,25035,2013,245,2018
245,4067,64,2,4,2018,inner,4131,2013,245,2018
245,186,2,2,5,2018,inner,188,2013,245,2018
245,2206,6,3,1,2018,inner,2212,2013,245,2018
245,19785,76,3,2,2018,inner,19861,2013,245,2018
245,16817,113,3,3,2018,inner,16930,2013,245,2018
